genus,species,accession
Pasteurella,bettyae,GCF_000262245.1
Pasteurella,caecimuris,GCF_004793515.1
Pasteurella,canis,GCF_900454865.1
Pasteurella,dagmatis,GCF_900186835.1
Pasteurella,langaaensis,GCF_003096995.1
Pasteurella,multocida,GCF_000754275.1
Pasteurella,oralis,GCF_002850605.1
Pasteurella,skyensis,GCF_900109845.1
Pasteurella,sp,GCF_004570945.1
Pasteurella,testudinis,GCF_900454705.1
